"tweet_id"	"match"	"matchend"	"query"	"query_slot"	"query_hierarchical"	"word"	"0_word"	"1_word"	"0_word_slot"	"1_word_slot"	"exact0"	"within0"	"overlap0"	"outside0"	"exact0_0"	"exact0_1"	"within0_0"	"within0_1"	"overlap0_0"	"overlap0_1"	"outside0_0"	"outside0_1"	"exact1"	"within1"	"overlap1"	"outside1"	"exact1_0"	"exact1_1"	"within1_0"	"within1_1"	"overlap1_0"	"overlap1_1"	"outside1_0"	"outside1_1"
"t745966172240228352"	343115	343117	"pattern3_name_for_policy"	"pattern24_entity_be_a_person_group"	NA	"@emmylouscutt maybe they thought Rapide Slideout was French for Brexit ?"	"French"	"Brexit"	"Rapide Slideout"	"French"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"t743805761952841729"	648447	648449	"pattern3_name_for_policy"	"pattern24_adj_affiliation_name"	NA	"@AleksStarTrek Waterstones boss James Daunt is actually very pro EU , and you'll struggle to find a bookseller for Brexit , or Tories X"	"bookseller"	"Brexit"	"James Daunt"	"Waterstones boss"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"t735075380529401856"	854432	854435	"pattern3_name_for_policy"	"pattern24_entity_be_a_person_group"	NA	"@accidentavenger @JennieSlevin @eddieizzard @DanHannanMEP @UniofReading doesnt matter what i think dice are loaded against a #brexit"	"loaded"	"a #brexit"	"dice"	"loaded"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"t745350439663656960"	1440611	1440613	"pattern3_name_for_policy"	"pattern24_entity_is_just_another_entity"	NA	"@lush_cmte For every #VoteLeave for #Brexit , I'll undo another thread ... 😈🇺🇸 https://t.co/oQARdSjm1B"	"#VoteLeave"	"#Brexit"	"I'll"	"another thread ... 😈🇺🇸 https://t.co/oQARdSjm1B"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"t745388896037404672"	1545591	1545593	"pattern3_name_for_policy"	"pattern24_entity_be_a_person_group"	NA	"The same guy warning Brits against #brexit is funding an anti-American faction in the U.S. This man is garbage . https://t.co/yQ60giFbuF"	"Brits"	"#brexit"	"This man"	"garbage"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"t739404323873030144"	2198644	2198647	"pattern3_name_for_policy"	"pattern24_entity_be_a_person_group"	NA	"@SkyMurnaghan @SkyNews @KateHoeyMP It 's nailed on that Corbyn is a secret voter for a #Brexit"	"voter"	"a #Brexit"	"Corbyn"	"voter"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"t739395062912720897"	2236814	2236816	"pattern3_name_for_policy"	"pattern24_entity_be_a_person_group"	NA	"@NotTheNineMuses you delight in my children being bullied for being German , you utter little creep . You are the poster boy for #Brexit !"	"boy"	"#Brexit"	"my children"	"bullied"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"t738859461855563776"	2750882	2750884	"pattern3_name_for_policy"	"pattern24_entity_be_a_person_group"	NA	"@Justice4Europe @iVoteLeave yes those for #Brexit are paranoid xenophobes and/or supremacists or neoliberal opportunists :( #Murdoch et al ."	"those"	"#Brexit"	"#Brexit"	"xenophobes"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"t740263557112201216"	2755128	2755130	"pattern3_name_for_policy"	"pattern24_entity_is_just_another_entity"	NA	"@RLDBrooke @HayleyHas On the economy , Economists for Brexit are pro , well , Brexit . HM Treasury on the other hand is quite the opposite ( 1/2 )"	"Economists"	"Brexit"	"the other hand"	"the opposite ( 1/2 )"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"t734410566035464192"	3077323	3077325	"pattern3_name_for_policy"	"pattern24_entity_be_a_person_group"	NA	"@DailyMailUK Notice how all the people against brexit are the top elite establishment ? Who make so much money from the EU gravy train ."	"people"	"brexit"	"brexit"	"elite"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
