	tweet	pattern	annotation	via	undecidable	toplevel	comment	adjudicated_by
0	t3308763160	3	True	gold	False	False		merlin
1	t3308763160	46	False	gold	False	False		merlin
2	t3308763160	55	False	gold	False	False		merlin
3	t3308763160	65	False	gold	False	False		merlin
4	t27899330328	23	True	gold-impl-pos	False	False	from 23: 	merlin
5	t27899330328	23	True	gold-impl-pos	False	False	from 23: 	philipp
6	t27899330328	24	True	gold-impl-pos	False	False	from 24: 	merlin
7	t27899330328	24	True	gold-impl-pos	False	False	from 24: 	philipp
8	t27899330328	26	False	gold	False	False		merlin
9	t27899330328	57	True	gold	False	False		merlin
10	t27899330328	61	True	gold	False			philipp
11	t27899330328	65	False	gold	False	False		merlin
12	t86090215084654594	23	True	gold-impl-pos	False	False	from 23: 	merlin
13	t86090215084654594	24	True	gold-impl-pos	False	False	from 24: 	merlin
14	t86090215084654594	57	True	gold	False			merlin
15	t196981998663892994	3	True	gold-impl-pos	False	False	from 3: 	vanessa
16	t196981998663892994	23	True	gold-impl-pos	False	False	from 23: 	nathan
17	t196981998663892994	23	True	gold-impl-pos	False	False	from 23: 	vanessa
18	t196981998663892994	24	True	gold	False			nathan
19	t196981998663892994	24	True	gold-impl-pos	False	False	from 24: 	vanessa
20	t196981998663892994	26	False	gold	False	False		vanessa
21	t196981998663892994	57	False	gold	False	False		vanessa
22	t196981998663892994	61	True	gold	False			vanessa
23	t196981998663892994	65	True	gold	False			vanessa
24	t295198875675934720	23	True	gold-impl-pos	False	False	from 23: 	merlin
25	t295198875675934720	23	True	gold-impl-pos	False	False	from 23: 	vanessa
26	t295198875675934720	24	True	gold	False			merlin
27	t295198875675934720	24	True	gold-impl-pos	False	False	from 24: 	vanessa
28	t295198875675934720	26	False	gold	False	False		vanessa
29	t295198875675934720	57	True	gold	False			vanessa
30	t295198875675934720	61	False	gold	False	False		vanessa
31	t295198875675934720	65	False	gold	False	False		vanessa
32	t316605774518444032	3	True	gold	False	False		merlin
33	t316605774518444032	46	False	gold	False	False		vanessa
34	t316605774518444032	55	False	gold	False	False		vanessa
35	t316605774518444032	65	False	gold	False	False		vanessa
36	t323698368905871361	23	True	gold-impl-pos	False	False	from 23: 	merlin
37	t323698368905871361	24	True	gold-impl-pos	False	False	from 24: 	merlin
38	t323698368905871361	57	True	gold	False			merlin
39	t329760047217385472	23	True	gold-impl-pos	False	False	from 23: 	merlin
40	t329760047217385472	24	True	gold	False			merlin
41	t329760047217385472	26	False	gold	False	False		vanessa
42	t329760047217385472	57	False	gold	False	False		vanessa
