id	entity	consequence	possibly	remove	comment
t735842133060505600	FALSE	FALSE	FALSE	NA	NA
t735195389553479680	NA	NA	NA	TRUE	NA
t743117940355178496	TRUE	TRUE	FALSE	NA	NA
t741913570980532224	NA	NA	NA	TRUE	NA
t737226170706579456	FALSE	TRUE	FALSE	NA	NA
t742441440270155777	TRUE	TRUE	FALSE	NA	NA
t729609578334302208	FALSE	FALSE	FALSE	NA	NA
t729620096507891712	FALSE	TRUE	FALSE	NA	NA
t729588923031293952	FALSE	TRUE	TRUE	NA	NA
t729594178213007360	FALSE	TRUE	TRUE	NA	NA
t729954963263266816	FALSE	TRUE	FALSE	NA	NA
t731071521741934592	FALSE	FALSE	FALSE	NA	NA
t731060731408470016	TRUE	TRUE	FALSE	NA	NA
t731050917697490944	FALSE	TRUE	FALSE	NA	NA
t731491600602431488	FALSE	TRUE	TRUE	NA	NA
t731819416976015361	TRUE	TRUE	TRUE	NA	NA
t732079629960400896	TRUE	TRUE	FALSE	NA	NA
t733697112161067008	FALSE	TRUE	FALSE	NA	NA
t734088881956610049	FALSE	TRUE	TRUE	NA	NA
t734336840552046592	TRUE	FALSE	FALSE	NA	NA
t734713859613859840	TRUE	TRUE	FALSE	NA	NA
t734853063454949376	FALSE	TRUE	TRUE	NA	NA
t735488137909010432	FALSE	TRUE	FALSE	NA	3 matches (FTF, FTF, TTF)
t736116492656349184	TRUE	TRUE	FALSE	NA	NA
t737505840823832576	FALSE	FALSE	FALSE	NA	NA
t737574960885948416	FALSE	FALSE	FALSE	NA	NA
t738689178842587136	TRUE	TRUE	FALSE	NA	NA
t738647491462238208	TRUE	FALSE	FALSE	NA	NA
t738639910383542272	TRUE	FALSE	TRUE	NA	NA
t739769430973030400	TRUE	FALSE	FALSE	NA	NA
t739781126991020032	FALSE	FALSE	FALSE	NA	NA
t739786210185379840	TRUE	FALSE	FALSE	NA	NA
t740093714668785664	FALSE	TRUE	TRUE	NA	NA
t740163908615479296	FALSE	FALSE	FALSE	NA	NA
t740125070648086528	NA	NA	NA	TRUE	NA
t740965248346251264	FALSE	TRUE	TRUE	TRUE	unsure if to remove
t741040085852925952	NA	NA	NA	TRUE	NA
t741611847040831488	FALSE	TRUE	FALSE	NA	NA
t741565974428712960	TRUE	FALSE	FALSE	NA	NA
t742493564584615936	FALSE	TRUE	TRUE	NA	NA
t742307178061672448	TRUE	FALSE	FALSE	NA	NA
t742198598281007104	TRUE	FALSE	TRUE	NA	NA
t742716907363700737	TRUE	FALSE	TRUE	NA	NA
t742645795489484800	FALSE	TRUE	TRUE	NA	NA
t742727298286133248	FALSE	FALSE	FALSE	NA	NA
t742655744961589248	FALSE	TRUE	TRUE	NA	NA
t742940923479379968	FALSE	TRUE	FALSE	NA	NA
t743003232885149696	FALSE	TRUE	TRUE	NA	NA
t743145567459631104	TRUE	FALSE	TRUE	NA	NA
t743245259619078144	TRUE	FALSE	TRUE	NA	NA
t743428495506714624	TRUE	FALSE	TRUE	NA	NA
t743324928779268096	TRUE	TRUE	TRUE	NA	NA
t743434642892689408	TRUE	TRUE	TRUE	NA	NA
t743946361087758338	TRUE	FALSE	FALSE	NA	NA
t743837656757469184	TRUE	FALSE	FALSE	NA	NA
t743774569899646976	TRUE	FALSE	FALSE	NA	NA
t744303541712490501	FALSE	FALSE	FALSE	NA	NA
t744008952254455814	TRUE	TRUE	TRUE	NA	NA
t745269071801786368	FALSE	FALSE	FALSE	NA	NA
t745236537315569664	TRUE	FALSE	FALSE	NA	NA
t745265420018528260	TRUE	FALSE	FALSE	NA	NA
t745381614985711616	FALSE	FALSE	FALSE	NA	NA
t745294393666576385	FALSE	FALSE	FALSE	NA	NA
t745647428888584192	FALSE	FALSE	FALSE	NA	NA
t745613557836972032	TRUE	FALSE	TRUE	NA	NA
